video_id,vllm_description,label
6E7nxP3iD4c,"A young man in a red hoodie wearing headphones holds a game controller with an excited, shouting expression while looking at the camera, while on the left side a person is covered in or surrounded by gray tape or wrapped material in what appears to be a humorous or chaotic setup.",1
IGS04NYSG0c,"This YouTube thumbnail shows a split-screen comparison with two women on opposite sides holding noodle cups - the woman on the left (orange background) is eating red/spicy noodles with an excited expression, while the woman on the right (cyan background) is eating blue/frozen noodles with a shocked expression, with a ""VS"" text in the center indicating a challenge or comparison video.",1
fAbrKxrq9pw,"A man in a red shirt is holding an enormous Kinder Toy egg while smiling at the camera against a beach background, with Hindi and English text reading ""सबसे बड़ा kidder TOY"" (Biggest Kidder Toy) displayed prominently in the upper right corner.",1
dqYOg04QwfI,"In this YouTube thumbnail, a man lies on a hospital bed with a cast on his leg while making an exaggerated distressed expression, with two other people standing beside him smiling at the camera, and a red arrow pointing to his injured leg to draw viewer attention.",1
SToocHIhCN4,"A split-screen YouTube thumbnail showing a shocked young man in a red shirt with handcuffs on the left side, and on the right side a teacher in purple clothing appearing to discipline or point at a blonde student in a blue shirt in a classroom setting with a green chalkboard visible in the background.",1
t5mjLoStmFU,"A young man in a blue hoodie makes an exaggerated shocked expression in the foreground while another person in green stands behind a red sports car with ""I HATE U"" written on its hood, appearing to be in the middle of vandalizing it.",1
kKj0yzRyOpg,"A woman in the foreground wearing a bright green shirt displays an exaggerated shocked expression with her hand to her face, while in the background a police officer and a young girl in a pink shirt stand beside a police car, creating a dramatic ""getting caught"" scenario typical of prank or family entertainment content.",1
aVkG59wJKec,"A man in a blue shirt stands in shallow water with his arms raised in celebration while a blue tractor loaded with multiple cheerful people passes by on a sandy beach, capturing a moment of joyful celebration or greeting.",1
mHddP1CDTQ0,"A group of people wearing bright yellow and purple safety vests are launching other team members into the air using a seesaw-like contraption in an outdoor field setting, creating a dynamic action shot that suggests this is a viral stunt or challenge video.",1
iV1kP5ERQvE,"A female soccer player wearing a blue and red striped jersey displays an intense, angry expression while looking upward, with a zoomed-in circular inset of her face in the upper left corner marked with a question mark, set against a grass field background.",1
h2pe4zpWXT4,"# Image Description

A large red dump truck is unloading gravel onto a silver/white car, completely burying it under tons of loose stone, while a woman in the background documents the scene on her phone with an apparent expression of shock or concern.",1
Y4id5tlTYsY,"# Description

A goalkeeper in a bright neon-yellow uniform stands confidently near the goal line with his hand on the net post, displaying a calm and composed expression during what appears to be a professional football match.",1
Lra2N5CsyDA,"# Image Description

A large male gorilla with dark fur sits on green grass with an intense, direct gaze toward the camera, displaying a serious facial expression while resting his massive arms on his legs.",1
7Tuhg0tyzT4,"A large black gorilla displays an aggressive threat display with its mouth wide open while facing a spotted leopard on grass in front of a concrete wall, creating a tense confrontation scene.",1
-V1Z5tJzktY,"# Image Description

This thumbnail shows an elephant appearing to chase or interact with a person on a grass field, with a crowd of onlookers visible in the background, captured in what appears to be low-quality or vintage footage with a blue play button icon in the corner.",1
eVvjsXjeiB4,"# Image Description

In this YouTube thumbnail, uniformed park rangers or law enforcement officers are examining a large pink sculptural figure of a person in a reclined position against a yellow wall, with the officers appearing curious or amused by the unusual artwork.",1
4KjapCzpWQg,"# Image Description

A person wearing a bright red jacket stands triumphantly on top of a severely damaged and crushed dark blue car, holding a large sledgehammer raised above their head in a celebratory pose, with a flat green field and clear sky visible in the background.",1
Q19ddpjmbwY,"A woman holding a clear umbrella stands in the rain against an urban backdrop, with dramatic purple lightning bolts striking dramatically in the background, creating a striking contrast between the everyday scene and the theatrical special effects.",1
81v7fgp3Two,"A person wearing a bright green jacket and red pants is lifting or struggling to hold up a large green barbell above their head while standing beneath a massive truck tire, creating a humorous or exaggerated strength comparison scenario.",1
rah4QI41Lgg,"# Image Description

A person in dark business attire is crouching on a circular patch of thin ice or frozen water, appearing to examine or interact with the translucent blue surface beneath them on what looks like a frozen lake or pond.",1
efXOrthfd2U,"Workers in orange safety suits and hard hats are mixing and stirring a massive circular vat of thick, brown liquid or chocolate material using long tools, creating visible swirls and patterns across the surface.",1
kNZpnFo20Sk,"The thumbnail shows a split-screen comparison with a player on the left wearing glasses and a red Nike jersey with an exaggerated shocked expression, and on the right a circled moment from a match showing a goalkeeper and ball near the goal line, suggesting a controversial or dramatic goal-line incident in football.",1
MVjD3CVlRDs,"A cyclist in a neon green jacket and helmet rides on a curved snowy mountain road while being chased by a large black bear, creating a dramatic and humorous confrontation scene.",1
SH8SDdxstco,"A split-screen image shows a bearded male athlete with a shocked facial expression on the left side, while the right side displays a soccer/football video game scene with a player in blue and red jersey attempting a shot on goal with yellow directional arrows indicating the play mechanics.",1
HXDLxqSh52M,"A dirt bike rider in yellow and red gear performs a stunt on the edge of a massive cylindrical concrete pipe or tunnel, appearing to be captured mid-action as they navigate the steep curved surface of this industrial structure.",1
uKpEcfPjy1I,"A wide-eyed cat with an exaggerated surprised expression appears to be high-fiving or touching hands with a person wearing a pink glove, accompanied by a laughing emoji in the upper left corner, creating a humorous and playful tone typical of viral pet content.",1
-zAUGYmJaEI,"Two digitally-edited cats are depicted standing upright in a kitchen setting—one holding a microphone with an exaggerated open-mouthed singing expression while the other holds a spatula in the air—accompanied by two large yellow laughing emoji icons in the upper left corner, creating a humorous ""cats singing/cooking"" meme thumbnail.",1
swadfg2DtYo,"A split-screen soccer image showing a player in red Portuguese kit on the left standing calmly next to a soccer ball, while a player in blue on the right appears to be running away with the Portuguese flag engulfed in flames between them, creating a dramatic, humorous rivalry-themed composition.",1
n32O01tUyvo,"# Image Description

In this football match screenshot, two players in different team uniforms are engaged in a heated confrontation on the pitch, with the scoreboard showing Real Madrid (RMA) versus Paris Saint-Germain (PAR) at 90:00 minutes with a 0-1 score line, while the timer indicates 4:02 of added time.",1
qUL0EyCRAgM,"A woman with pulled-back hair makes an exaggerated, surprised facial expression while appearing to be trapped or looking through a glass door or window, with other people visible in the background and red architectural elements visible outside.",1
dik8ItxhfgE,"# Image Description

Two children are climbing up a wooden pole while a black bull with large horns stands directly beneath them in a dry, fenced pasture, creating a humorous and precarious scene.",1
KWGE8_7Cj7Q,"# Image Description

A large red Coca-Cola delivery truck is parked on a wet residential street lined with houses, with the iconic white Coca-Cola script logo prominently displayed on its side.",1
OX5d5IaoDn4,"A referee in black is showing a red card to a smiling Manchester United player wearing a red Adidas jersey with the team crest and sponsor logos visible, captured during a football match on a bright green pitch.",1
buvIEPekwoc,"The thumbnail shows a humorous soccer/football scene split between two players: on the left, a goalkeeper lying flat on the ground in a diving save attempt, and on the right, a player in a yellow and black striped uniform performing an upside-down handstand or flip, with a laughing emoji in the top left corner and a yellow arrow pointing to the action.",1
WFIKtJ3nXyQ,"This thumbnail shows a split-screen comparison featuring a chimpanzee with a contemplative expression on the left side and a man in a dark blue shirt standing behind a large display of yellow bananas on the right side, suggesting a humorous juxtaposition between the primate and the grocery store worker with the produce.",1
EWzj9rErGQI,"A security camera footage shows a phone store interior where employees in white and dark clothing stand behind a counter with display cases, while a man circled in red appears on a monitor screen in the upper right, seemingly depicting a security incident or theft in progress.",1
jPvt-ap8Jbc,"A British Airways aircraft is captured mid-flight with a massive flock of birds swarming around it, while the number ""15"" appears in yellow text in the upper left corner, suggesting this is part of a numbered list or ranking video.",1
WA0BqYkg21w,"# Image Description

A close-up of a man's face with an intense, wide-eyed expression and slight frown, appearing concerned or unsettled, against a dark background with minimal visible text.",1
DtYACSW-QHA,"This YouTube thumbnail shows a split-screen comparison with a man on the left wearing a green shirt being punched in the face on a black background, and on the right a close-up of a person with an exaggerated shocked/screaming expression with the word ""MOM"" in large green text at the top, appearing to be a humorous ""expectation vs. reality"" meme format.",1
mpedtsJBHgw,"A YouTube thumbnail from the Minions franchise shows a character with a round, peachy-colored head circled by a red arrow with a yellow ring, positioned to the left of two yellow Minions with their characteristic goggle eyes, all appearing to be inside a vehicle with a surprised or concerned expression.",1
FmRdmBKmJd4,"A young man with a shocked, wide-eyed expression points toward an extreme action scene showing a silhouetted figure walking on a precarious curved ramp high above mountains with a helicopter and rescue equipment visible, with the text ""ME"" and an arrow labeling him as the subject of this dangerous scenario.",1
jUpknoy-DKc,"This thumbnail shows three panels of a person in turquoise/teal clothing: on the left wearing a blue gel eye mask with a neutral expression, in the middle making an exaggerated sad or pained facial expression, and on the right performing an athletic jump or leap indoors with arms outstretched, suggesting a before-and-after transformation or challenge video format.",1
6ujHuYFkaHY,"# Image Description

A white fluffy dog is playfully interacting with a green toy that has exaggerated googly eyes and a wide grinning mouth, while a person holds the leash on a tiled floor, accompanied by a large laughing emoji in the top right corner of the thumbnail.",1
EMOz-wmMG-4,"# Image Description

A woman in a purple top and jeans carries a large wooden log while running alongside a young child on a grassy area, both appearing to be engaged in an outdoor exercise or training activity.",1
MnGCjmcUp6c,"# Image Description

A person is holding an oversized brown box above their head while standing in front of a black car on a street, with a driver visible in the vehicle's window and various storefronts and parked cars visible in the background.",1
75QGZqOZxfg,"This split-screen thumbnail shows two contrasting fashion statements: on the left, a woman wears an enormous brown cape-like garment while posing in an urban setting, and on the right, another woman sits in an elaborate yellow banana-themed dress in an indoor setting, both images appearing to showcase extreme or unconventional fashion designs.",1
EO4FPY0TtXw,"# Image Description

A construction worker in high-visibility orange and blue safety gear stands with a shovel in front of an enormous dome-shaped pile of gravel or aggregate material on what appears to be a concrete surface, creating a humorous scale contrast that suggests the worker is tiny compared to the massive heap.",1
fsWXfXrLG6w,"# Image Description

This aerial photograph shows residential properties covered with blue tarps and debris scattered across roofs and grounds, with a white car parked in a driveway, suggesting storm or hurricane damage to a neighborhood.",1
fDANmSPL4Js,"A large wooden log or piece of driftwood is dramatically half-buried in sand on a beach, with the text ""GIANT!"" and an arrow pointing to it, while small toy figures are positioned nearby for scale comparison, creating a forced perspective illusion for the SciShow Kids channel.",1
2Juw9LKRMNo,"This thumbnail shows a split-screen comparison of two innovative smart home gadgets: on the left, a person's hand holding a futuristic smartphone-integrated cleaning device with a mop attachment, and on the right, a glowing blue smart toilet with illuminated LED lighting in a modern bathroom setting.",1
r1ExfbrDaXk,"# Image Description

A person in a red jacket is bending over to interact with or adjust an unusual amphibious vehicle made up of large blue inflatable tires arranged in a circular formation, positioned on a grassy shore next to a calm lake with forested banks in the background.",1
_z8RDEOeSl4,"# Image Description

A woman in black leggings and a gold/yellow top performs a dramatic high kick while standing on a log at the water's edge, with a digitally-inserted great white shark emerging from the turquoise water behind her in an exaggerated, menacing pose.",1
-z45Vd9slWw,"# Image Description

A person with long black hair is performing a horizontal handstand or planking move against a large stone wall while wearing a red and blue outfit, with onlookers visible in the background on a paved area.",1
gMwFf1euJ0E,"A bright yellow truck is loaded with three oversized, exaggerated carrots that dwarf the vehicle, with text reading ""So Huge!"" and ""Heavier Than a Car!"" emphasizing their enormous size in a humorous, clickbait-style agricultural comparison image.",1
6IL555Cfvug,"A person in dark clothing is running away from a large tire that's spinning violently and kicking up a massive cloud of dust on a residential street, while onlookers watch from a porch in the foreground.",1
x4fF7lMFdiQ,"This thumbnail displays a side-by-side comparison of the Statue of Liberty's face, with the right image circled in red, highlighting a noticeable difference in the facial features or expression between the two versions of the iconic monument against a blue sky background.",1
X-88Rn8JRHs,"This thumbnail shows a split-screen comparison: on the left, a person wearing a golden-brown face mask with an exaggerated surprised expression against a red background, and on the right, a person with their tongue extended toward a green spiky cactus against a blue background, with a red arrow pointing between the two images.",1
eiKNcRAyAEE,"A hand covered in glowing purple putty or slime is being attracted to a red and white magnet held by another hand on the right side, with yellow ""Magnetic!"" text in the upper left corner and small yellow spark effects between the magnet and the putty.",1
DJxP_R_6d4E,"A YouTube thumbnail showing a hand holding a Duracell battery with the positive terminal ignited by a match flame against a blue background, with large yellow text reading ""7 SCIENCE TRICKS"" in the corner, presenting a demonstration of a battery's electrical properties.",1
UYFXDUGsZmk,"A man and girl with exaggerated pink and blue face paint wear party hats and hold large oversized crayons, both displaying shocked or surprised expressions against a white background.",1
lWE0fXAVFXM,"A split-screen comparison shows a young girl on the left looking upset while holding a small chocolate bar, and another girl on the right appearing excited while holding a large chocolate bar, with emoji reactions (sad face and heart eyes) and a bright blue background emphasizing the contrast between the two situations.",1
ssu3MJkD5tk,"The thumbnail shows a creative DIY hack where fresh watermelon is being squeezed into a lipstick tube on the left side, with an arrow pointing to the final result on the right—a completed watermelon-filled lipstick—all set against a bright blue wooden background.",1
2_nA-sz7pyk,"Two children are featured against a vibrant purple curtain background: on the left, a boy wearing glasses and a headband points to oversized watches on his wrist while looking surprised, and on the right, a girl with her mouth wide open appears to be eating colorful rainbow ice cream balls, with a large alarm clock with lightning bolt graphics displayed between them, suggesting a time-themed content video.",1
HMbDPgINfto,"# Image Description

This YouTube thumbnail shows a side-by-side comparison of two sandaled feet on a rocky surface, with a red X mark on the left indicating an incorrect thin-soled flip-flop, and a green checkmark on the right indicating the correct choice of a colorful stacked platform sandal with red, blue, and cyan layers.",1
tJyXy7qQvGw,"The thumbnail compares two ways of eating noodles, showing a young child on the left with an unhappy expression eating directly from a bowl (marked with a red X), and on the right a person in pink using a utensil to eat noodles properly (marked with a green checkmark), presenting a ""right vs. wrong"" instructional format.",1
bIiG-Y-BCNU,"This thumbnail features a split-screen comparison showing a close-up of a person's smiling mouth with bright red lipstick and a pink object on their tongue (left side), paired with a full-body shot of a woman in hot pink and white clothing posing dramatically against a red lip-shaped background (right side), creating a playful, exaggerated cosmetics or fashion-related promotional image.",1
oBtOZlaBNEc,"Two young people with shocked expressions are partially submerged in an oversized sewer or manhole cover at Disneyland, with a castle visible in the background and the word ""dad"" with a pointing arrow in the upper right corner, creating a humorous clickbait-style thumbnail.",1
3Xl9OVjFK6c,"A person with long dark hair and dramatic makeup featuring spiral designs around their eyes stares directly at the camera with a wide-eyed, intense expression against a yellowish-tinted background.",1
Al3WyMnwTpE,"Five shirtless men are standing in a line outdoors in what appears to be a forest or wooded area, all facing the camera with neutral expressions while standing in shallow water or wet ground.",1
pwZhv4YYFg0,"I can see two shirtless men sitting on the ground facing armed military personnel, appearing to be in a tense or dangerous situation, though the image quality is grainy and the context is unclear.",1
xSQ8cZE27-Y,"The thumbnail shows Amitabh Bachchan wearing glasses and a blue shirt, split into two frames with different expressions, accompanied by Hindi text captions reading ""Shakal na dikhana dafa ho Badkirdar Aurat"" on the left and ""Camera Footage Gadham mat kar b****"" on the right, with a yellow header stating ""Amitabh Bachchan wrathful on Bahu.""",1
H9OiyUQiJpw,"The image shows a split-screen YouTube thumbnail with the title ""Amitabh Bachchan Condition in Hospital"" at the top, featuring the Bollywood actor in a hospital bed on the left side appearing unwell, and on the right side a photo of him with family members in what appears to be a more positive moment.",1
ZdzvGvPurRo,"The image shows two people at what appears to be a formal event or press conference, with the man on the left gesturing while speaking and the woman on the right listening, set against a backdrop of sponsor logos, accompanied by red text at the bottom reading ""RISHI KAPOOR ANGRY ON WIFE NEETU.""",1
GphDte8cJJ0,"The thumbnail shows a man in a black suit engaged in conversation with a woman in professional attire at what appears to be a formal event, with yellow text reading ""Alia Bhatt ANGRY"" overlaid at the bottom, suggesting a tense or confrontational interaction between the two individuals.",1
I2hCNwZ7Jbw,"# Description

This YouTube thumbnail features a ""BREAKING NEWS"" header in English, with Urdu text below it, showing a woman in pink clothing on the left side and a man in a blue cricket uniform on the right side, with what appears to be a news channel logo in the bottom right corner.",1
bBj8H3EnTAM,"This Urdu-language thumbnail features multiple photographs of Pakistani celebrities arranged in a grid format, with prominent yellow and red text banners at the top and center discussing family-related content, alongside what appears to be family photos of various celebrities, designed to attract viewers interested in Pakistani entertainment news and celebrity family stories.",1
RvJP7JbMW9I,"The thumbnail shows a split-screen comparison of what appears to be a formal event, with Urdu text at the top and a speech bubble containing ""Ye Girl Hai Ya Boy,"" featuring people in traditional formal attire (sherwani) at what looks like a wedding or celebratory gathering, with the right side showing a humorous reaction moment during dining.",1
31pKxRdgAgQ,"The thumbnail shows two people sitting together at a table with food, with one person circled in red, accompanied by Urdu text at the top and bottom that appears to reference a celebrity or public figure's meeting, formatted as a typical Pakistani/South Asian entertainment news thumbnail.",1
okqEpX07e3g,"A footballer in a red Portugal national team jersey is being interviewed by a blonde female reporter with a microphone, with bold yellow text at the bottom reading ""F*** STUPID QUESTIONS!"" overlaid on the image, set against a stadium background with sponsor logos.",1
hc42BgAB9Jg,"The image shows a man sticking his tongue out playfully against a bright green background, with a red circle highlighting a cross tattoo on what appears to be someone's skin on the left side of the frame.",1
bJ5PTkdH-20,"A YouTube thumbnail featuring a soccer player in a white Portugal national team jersey with the number 7, displaying a surprised or shocked expression on the right side, while a blue and white private jet with the number 7 on its tail is shown exploding in flames on the left side, with a red arrow pointing to the aircraft and dramatic fiery effects in the background.",1
4CF3uZV0RJU,"The thumbnail features two young males against a bright green background with an animated red prohibition symbol over a cigarette in the center, while bold white text at the bottom reads ""Don't SMOKE!"" - the person on the left displays an exaggerated shocked or angry expression, and the person on the right appears concerned or distressed.",1
zghRo5NMvZE,"A man with a bright smile holds a large red gemstone in his hand against a neon green background, with ""$32,000,000"" displayed in white text in the upper left corner, suggesting content about valuable assets or wealth.",1
gt_jiSsQQno,"A football player wearing a red jersey with ""RONALDO"" and the number 7 on the back raises his fist in celebration while standing next to a man in a dark blue suit in what appears to be a stadium setting with crowds visible in the background.",1
Pv0iVoSZzN8,"A man wearing a blue shirt is bound with rope across his chest, positioned between two large red cylindrical objects with flammable/fire warning symbols, while displaying an exaggerated excited expression with flames and explosions visible in the background.",1
2_nCluvm-9A,"A man in a dark business suit smiles at the camera while holding a decorative soccer ball encrusted with what appears to be diamonds or crystals, with a large red circular overlay on the left showing a close-up of the ball and ""$2,000,000"" text displayed below it, set against a background featuring gold ornate decorative elements.",1
h8poH5sn1eQ,"This is a movie poster thumbnail for ""Stree 2"" featuring a central female figure with long dark hair in a red outfit surrounded by male cast members against a blue-tinted, atmospheric background with mystical lighting effects and the film's title displayed prominently in the center.",1
y4zpJOW8OSI,"# Image Description

A man in a dark business suit is aiming and firing a rifle at what appears to be an indoor exhibition or trade show, with observers visible in the background and display screens showing similar imagery on the wall behind him.",1
0k1SPmGrFoU,"# Image Description

A person in colorful athletic wear (blue, yellow, and red) swings a large wooden bat in a batting stance on sandy ground, while five other people in matching colored shirts stand behind a pyramid structure made of stacked terracotta pots, all positioned in front of a body of water and rural landscape.",1
QJppvse1ZVU,"The thumbnail shows a split-screen comparison featuring a man on the left making a dismissive gesture with text in Hindi/Urdu reading ""Alia plz! Depika ko Copy mat kro"" (Alia please! Don't copy Deepika), and a woman on the right appearing distressed or emotional, seemingly suggesting a dramatic confrontation or comparison between two individuals.",1
lp_26Ec4I1I,"The thumbnail shows a split-screen image with a couple on the left side appearing to embrace or kiss, while the right side displays a large luxury yacht, accompanied by text reading ""Alia's Expensive Wedding Gift From Ranbir"" in yellow and green lettering.",1
6bj6DHKGtTE,"The thumbnail features a young woman with reddish-brown hair wearing gold dangling earrings and red lipstick on the left side, alongside labeled sections showing her family, mansion, and luxury airplane and cars, with red ""LIFESTYLE"" text at the bottom indicating this is a celebrity lifestyle video.",1
eC0dUSDgUgk,"The thumbnail shows a split-screen comparison image: on the left, a man in casual clothing plays with two young children indoors, while on the right, the same man poses alone outdoors in a white shirt with his hand near his face, with a pink ""Spot Bollywood"" watermark visible in the corner.",1
Bf6iV3Wtl4I,"The thumbnail shows a split image: on the left, a woman with long dark hair and visibly swollen, red eyes with an emotional expression, and on the right, three young children in blue clothing posing together, with a ""tt"" logo visible in the corner indicating this is likely a YouTube video thumbnail.",1
l4QAMRJPBI0,"The thumbnail shows a collage featuring scenes from what appears to be a Pakistani drama series, with Urdu text at the top on a yellow banner and a dialogue box on the right side, displaying emotional confrontation scenes between characters on the left and two male figures on the right discussing the drama's storyline.",1
7JZCmVjBAEg,"# Krrish 4 Official Trailer Thumbnail Description

The thumbnail displays a split composition featuring a blue-masked superhero face on the left with glowing purple eyes, and a bearded man with long dark hair on the right, with ""OFFICIAL TRAILER"" and ""KRRISH 4"" text prominently displayed across the image in white lettering, along with ""4K"" and production company logos.",1
hQdgdvC4_2s,"# Krrish 4 Trailer Thumbnail Description

The thumbnail features a sci-fi movie poster for ""Krrish 4"" with two older men's faces positioned behind a younger man in a black suit standing in a heroic pose, all set against a glowing blue-tinted background with the word ""TRAILER"" and ""KRRISH 4"" prominently displayed in white text, along with the Dharma Productions logo.",1
EtSLD5jtZKA,"# Krrish 4 Movie Trailer Thumbnail

The thumbnail features a dark, dramatic movie poster for ""Krrish 4"" showing a man in a black leather jacket in the foreground with a serious expression, a woman's face visible through a window or glass panel behind him, and a crowd of people silhouetted in the background, with the film's title prominently displayed and ""TRAILER"" and ""RELEASE DATE THIS YEAR"" text visible at the bottom.",1
HiUjyvW5gX4,"The thumbnail features a ""BREAKING NEWS"" header in yellow and red, with a woman as the main subject looking directly at the camera with a concerned or serious expression, accompanied by Urdu text at the bottom and a circular inset showing a close-up of her hand near her face, while a news channel logo appears in the bottom right corner.",1
qL3dj-KRAys,"The thumbnail shows a woman in a bright yellow dress at what appears to be a social gathering, with Urdu text at the top that translates to ""Shahid Afridi's wife Minal's beautiful moments with PM's daughter,"" featuring multiple candid photos of the woman interacting with others at what looks like a formal event.",1
sDpdv-SRlaE,"The thumbnail shows three people in separate panels with Urdu text at the top and bottom, featuring a woman on the left, a man in formal attire in the center, and another woman on the right, with a yellow text box in the middle containing Urdu script, appearing to be a sensationalized news or gossip-style video thumbnail.",1
23svmUzGXI4,"This sensationalist thumbnail depicts a digitally-created composite image showing a massive 600-meter tsunami wave towering over a city skyline, with a red arrow pointing to the wave's height and yellow text highlighting the measurement, designed to convey catastrophic scale and dramatic impact.",1
NniHBZVshyY,"# Image Description

This aerial photograph captures the controlled demolition of a multi-story residential building in an urban environment, showing the structure collapsing amid a large cloud of dust and debris, with surrounding apartment buildings and construction cranes visible in the cityscape.",1
Q5-SbEYDO34,"This YouTube thumbnail shows a medical discussion panel with Urdu text at the top asking about monkeypox symptoms and spread in Pakistan, featuring two panelists on either side of a central image showing what appears to be monkeypox lesions on skin, with a ""RED LINE"" news channel watermark and date indicator at the bottom.",1
iNsWjYpXOzw,"This is a breaking news thumbnail in Urdu featuring bold yellow text reading ""BREAKING NEWS"" at the top, followed by Urdu script text ""ملک میں لاک ڈاؤن؟؟"" (Is there a lockdown in the country??) with a blue background, and a photograph on the right showing uniformed officials and people in protective gear standing in front of what appears to be an institutional building, suggesting news related to a government lockdown or public health emergency.",1
XNiVcuJoBgQ,"# Description

This YouTube thumbnail features a ""BREAKING NEWS"" banner at the top, with a young man wearing glasses and a surgical mask as the main subject on the right side, while Urdu text (ملکیہین لاک ڈاؤن) appears in yellow and red boxes on the left, and a news channel logo is visible in the bottom right corner.",1
RXsnOeKRMWA,"This YouTube thumbnail features a collage of celebrity photos arranged around a central image of a couple sitting together, with Urdu text headlines and circular profile images of what appear to be news presenters or commentators at the bottom, typical of Pakistani entertainment or gossip news content discussing celebrity relationships or controversies.",1
T5CiiQaWUag,"A YouTube thumbnail for ""Showtime with Ramiz Raja"" featuring a woman in a purple/magenta outfit on the left with a question mark covering her face, while two men in casual attire smile on the right, with Urdu text at the bottom and bright neon-colored graphics and arrows framing the scene.",1
MVy5RKojkeg,"The thumbnail displays a lifestyle collage featuring a bearded man on the left in casual athletic wear, with labeled sections showing his ""WIFE"" (a woman with dark hair), ""HOUSE"" (a modern multi-story residential building), a luxury Bugatti sports car, and the word ""LIFESTYLE"" prominently displayed, all arranged in a typical clickbait-style YouTube format.",1
O9uthfOIejE,"The thumbnail shows a Pakistani celebrity lifestyle compilation featuring a cricketer on the left in casual wear labeled ""LifeStyle,"" with photos of his wife and brother on the right, along with images of a luxury modern mansion with a swimming pool and a red sports car, with Urdu text at the top indicating this is about the athlete's personal life and possessions.",1
odMRrTkobOQ,"This Urdu-language thumbnail features three individuals in separate panels - a young man on the left holding what appears to be a book, a middle section showing what seems to be a talk show or interview setting, and an older bearded man on the right wearing glasses and a white cap, with yellow Urdu text at the top and blue text overlay in the center, suggesting this is a discussion or debate video related to Islamic content.",1
aRUinTY9odw,"The thumbnail shows two identical side-by-side images of a man at a press conference wearing a colorful striped jacket, with text reading ""SEHWAG TAKLU WHO?"" in a speech bubble and ""REAL VIDEO"" label, appearing to be a meme comparing or reacting to someone named Sehwag.",1
MLziFdIHp2U,"The thumbnail shows two men in what appears to be a cricket press conference setting, with one man on the left seated at a table with microphones and water bottles, while the man on the right is standing and speaking with an animated expression, with text overlays reading ""WHO IS VIRENDRA SEHWAG"" and ""TERA BAAP"" in red and white boxes.",1
dTnzxIJMWu4,"A man in a red shirt with an excited expression gestures toward the camera on the left side, while the right side shows an image of people behind prison bars, with yellow text reading ""SHAKIB AL HASAN ARRESTED"" and white text reading ""BREAKING NEWS"" in the lower left corner.",1
ysAcIS4eiZo,"A split-screen thumbnail shows a man on the left with a serious expression and a pointer indicating his face, alongside a chaotic scene on the right with multiple people in a physical altercation, with white text reading ""PLEASE FORGIVE ME"" displayed prominently between them.",1
clLom3M4hnQ,"The thumbnail shows a split-screen comparison of cricketer Shikhar Dhawan in two different moments - on the left showing his statistics (97 runs off 99 balls with a strike rate of 79.0) while wearing an India cricket jersey, and on the right showing another person's reaction with a speech bubble saying ""Ye kya tha Dhawan 😂"" (What was that, Dhawan?), creating a humorous commentary on his performance.",1
